"credit_type","horizon","method","coef","se","p_value","ci_lower","ci_upper","n_obs"
"Cred_Real_MN",8,"OLS",-7.12254674431851,1.82100183352253,0.000113419140795999,-10.1178282148733,-4.12726527376369,316
"Cred_Real_MN",9,"2SLS_improved",-148.013738990617,50.1902392573657,0.0034373292581289,-230.569336070657,-65.4581419105769,315
"Cred_Real_MN",9,"OLS",-7.27967321979985,1.82976584125072,8.69597969635515e-05,-10.289370200253,-4.2699762393467,315
"Cred_Real_MN",10,"2SLS_improved",-164.221180069396,55.7196885298735,0.00345746925860681,-255.871911840365,-72.5704482984278,314
"Cred_Real_MN",10,"OLS",-7.80880941444728,1.96100520189413,8.57904392317285e-05,-11.0343759332536,-4.58324289564102,314
"Cred_Real_MN",11,"2SLS_improved",-178.753854601925,61.8456664740295,0.00413024389492067,-280.480923412963,-77.0267857908864,313
"Cred_Real_MN",11,"OLS",-8.37148682349546,2.20253043269945,0.000174747511541687,-11.9943269941921,-4.74864665279878,313
"Cred_Real_MN",12,"2SLS_improved",-196.065343525932,68.5615390519094,0.00453987148086163,-308.83903970484,-83.2916473470242,312
"Cred_Real_MN",12,"OLS",-8.50599082537813,2.23350838835512,0.000169875300235783,-12.1797851987906,-4.83219645196569,312
"Cred_Real_MN",13,"2SLS_improved",-198.775013918275,71.2797665526809,0.00563437757358628,-316.019796460706,-81.5302313758439,311
"Cred_Real_MN",13,"OLS",-8.55415732092627,2.32712051330627,0.000281233598444352,-12.3819299375913,-4.72638470426128,311
"Cred_Real_MN",14,"2SLS_improved",-203.893606993313,74.309261044317,0.00644294090160169,-326.121464538142,-81.6657494484849,310
"Cred_Real_MN",14,"OLS",-8.42384675888722,2.41075451675477,0.000548018389889917,-12.3891850694609,-4.4585084483135,310
"Cred_Real_MN",15,"2SLS_improved",-203.912198030054,75.9104824901115,0.00763611094119841,-328.77383047755,-79.0505655825577,309
"Cred_Real_MN",15,"OLS",-8.14160319018887,2.4382434676935,0.000948370710769113,-12.1521568014153,-4.13104957896248,309
