"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","fci_label","npl_type"
15,0.00150301440171986,0.00509556403905945,0.768211688298404,-0.00687844258929057,0.00988447139273029,331,"FCI_EXO","Exogenous (External)","Level"
16,0.00135533588160057,0.00551340227791878,0.805975262316536,-0.00771340385207665,0.0104240756152778,330,"FCI_EXO","Exogenous (External)","Level"
17,0.00143421908196977,0.00589793937081238,0.808028234517532,-0.00826702788365086,0.0111354660475904,329,"FCI_EXO","Exogenous (External)","Level"
18,0.000793956390822567,0.00595175662612428,0.893962744479004,-0.00899581208239041,0.0105837248640355,328,"FCI_EXO","Exogenous (External)","Level"
19,-0.000372419545284418,0.00609691245813435,0.95133148178725,-0.0104009481152523,0.00965610902468349,327,"FCI_EXO","Exogenous (External)","Level"
20,0.000412262874679844,0.00616771234670704,0.946749808104746,-0.00973272114879461,0.0105572468981543,326,"FCI_EXO","Exogenous (External)","Level"
21,0.000930095276524636,0.00607711963695765,0.878458172836756,-0.00906587699974316,0.0109260675527924,325,"FCI_EXO","Exogenous (External)","Level"
22,0.00130108811291353,0.00611921186692314,0.831759062378248,-0.00876411972047948,0.0113662959463065,324,"FCI_EXO","Exogenous (External)","Level"
23,0.00201163964102272,0.0065342066190722,0.758392094367626,-0.0087361738156085,0.0127594530976539,323,"FCI_EXO","Exogenous (External)","Level"
24,0.00403070031966543,0.00683281207218214,0.555683629229981,-0.00720827539954117,0.015269676038872,322,"FCI_EXO","Exogenous (External)","Level"
1,0.0035162240377111,0.00246075222041112,0.153961073804266,-0.000531353177061019,0.00756380125248323,345,"FCI_EXO","Exogenous (External)","YoY Change"
2,0.00222600111123718,0.00302575917909632,0.462441189600389,-0.00275092984878111,0.00720293207125547,344,"FCI_EXO","Exogenous (External)","YoY Change"
3,0.000800148992142883,0.00302477306067783,0.791534224843239,-0.00417515994741814,0.00577545793170391,343,"FCI_EXO","Exogenous (External)","YoY Change"
4,-5.4834645534488e-05,0.0031380778196604,0.986069034757188,-0.00521651332885886,0.00510684403778988,342,"FCI_EXO","Exogenous (External)","YoY Change"
5,3.70560571384605e-06,0.00322729624207535,0.999084556953132,-0.00530472432331066,0.00531213553473835,341,"FCI_EXO","Exogenous (External)","YoY Change"
6,-0.000392136692186108,0.00338791802840502,0.907924759321693,-0.00596476594902239,0.00518049256465017,340,"FCI_EXO","Exogenous (External)","YoY Change"
7,0.000192706409403715,0.00327489224833495,0.953112523986684,-0.00519401198314529,0.00557942480195272,339,"FCI_EXO","Exogenous (External)","YoY Change"
8,0.000112316950861907,0.00345648719162384,0.97409749721286,-0.00557309854279188,0.00579773244451569,338,"FCI_EXO","Exogenous (External)","YoY Change"
9,-5.4980341524206e-05,0.00327997481124816,0.986636397814307,-0.00545005880611521,0.00534009812306679,337,"FCI_EXO","Exogenous (External)","YoY Change"
10,0.00152978855145635,0.00347049183610176,0.659651744029958,-0.0041786625324611,0.00723823963537381,336,"FCI_EXO","Exogenous (External)","YoY Change"
11,0.00200159496748281,0.00355938032546649,0.574270743239944,-0.00385306467056046,0.00785625460552607,335,"FCI_EXO","Exogenous (External)","YoY Change"
12,-0.000415875848811361,0.00385888855784367,0.914244347588109,-0.00676318268918206,0.00593143099155934,334,"FCI_EXO","Exogenous (External)","YoY Change"
13,-0.00169954818371923,0.00436421114338232,0.697216620798304,-0.00887803671169366,0.0054789403442552,333,"FCI_EXO","Exogenous (External)","YoY Change"
14,0.000964418572634135,0.00437794153631328,0.825785017071449,-0.00623665444195227,0.00816549158722053,332,"FCI_EXO","Exogenous (External)","YoY Change"
15,0.00237968053727609,0.00433753742155093,0.583645533095333,-0.0047549336225997,0.00951429469715187,331,"FCI_EXO","Exogenous (External)","YoY Change"
16,0.0035396745623584,0.00412101332942288,0.391022411552223,-0.00323878915925819,0.010318138283975,330,"FCI_EXO","Exogenous (External)","YoY Change"
17,0.00420581790215931,0.00410982796439136,0.306917314428104,-0.0025542475312164,0.010965883335535,329,"FCI_EXO","Exogenous (External)","YoY Change"
18,0.00422570924794246,0.00386525201654335,0.275111579659493,-0.00213206455055037,0.0105834830464353,328,"FCI_EXO","Exogenous (External)","YoY Change"
19,0.0034930391753203,0.00381349432574796,0.360382090191523,-0.00277960079774508,0.00976567914838568,327,"FCI_EXO","Exogenous (External)","YoY Change"
20,0.0034468383763641,0.00391534205027004,0.379345442950319,-0.00299332619577818,0.00988700294850639,326,"FCI_EXO","Exogenous (External)","YoY Change"
21,0.00413467372487224,0.0040213487528379,0.304656135169856,-0.00247985635646996,0.0107492038062144,325,"FCI_EXO","Exogenous (External)","YoY Change"
22,0.00337662783490216,0.00428045048384575,0.430797527272197,-0.0036640866684377,0.010417342338242,324,"FCI_EXO","Exogenous (External)","YoY Change"
23,0.00297668514152253,0.00431570953477787,0.490875103810973,-0.00412202533962591,0.010075395622671,323,"FCI_EXO","Exogenous (External)","YoY Change"
24,0.00454910853792964,0.0043758336347676,0.299334180056881,-0.00264849728715408,0.0117467143630134,322,"FCI_EXO","Exogenous (External)","YoY Change"
