"horizon","coef_fci_low","se_fci_low","p_fci_low","ci_fci_low_lo","ci_fci_low_hi","coef_fci_high","se_fci_high","ci_fci_high_lo","ci_fci_high_hi","coef_interact","se_interact","p_interact","n_obs","target_var","stance_type","stance_label"
2,0.316934732978842,0.531682473512387,0.551510079526556,-0.557605111964537,1.19147457792222,1.35169453335474,0.606974922520838,0.353309630577752,2.35007943613173,1.0347598003759,0.292402561141966,0.000458332324672038,344,"IPC_yoy","TPM_std","Level (Standardized)"
3,0.364524938425766,0.60786462136875,0.549122944331112,-0.635323388728105,1.36437326557964,1.66825197278406,0.683249170252645,0.544407096982409,2.7920968485857,1.30372703435829,0.348726398966309,0.000217502312454189,343,"IPC_yoy","TPM_std","Level (Standardized)"
4,0.192713654877233,0.653296216567139,0.768186814519483,-0.8818629964169,1.26729030617136,1.66552177434361,0.728689615104122,0.466934018017723,2.8641095306695,1.47280811946638,0.391845583162638,0.000201496997268319,342,"IPC_yoy","TPM_std","Level (Standardized)"
5,0.433864795730884,0.731491287532426,0.55349979217967,-0.769331301650228,1.637060893112,2.03086314127537,0.837287170296008,0.653648302414049,3.4080779801367,1.59699834554449,0.444115980414495,0.000372049229717433,341,"IPC_yoy","TPM_std","Level (Standardized)"
6,0.256241577381145,0.844473636803529,0.761749019583595,-1.13279394698004,1.64527710174233,1.87145892073765,1.0013712182396,0.22434984049142,3.51856800098387,1.6152173433565,0.520748423416685,0.00208844137186246,340,"IPC_yoy","TPM_std","Level (Standardized)"
7,0.161577203921612,0.79923797466978,0.839912281359992,-1.15305227751132,1.47620668535455,1.56551965224111,1.06937077842816,-0.193438751212372,3.32447805569459,1.4039424483195,0.591799613081016,0.0182459262091499,339,"IPC_yoy","TPM_std","Level (Standardized)"
8,-0.185152625896845,0.74206133685424,0.803120134378293,-1.405734907242,1.03542965544831,1.01346470046088,1.11955084564874,-0.828032568561034,2.85496196948279,1.19861732635772,0.616127791811768,0.0525727492918685,338,"IPC_yoy","TPM_std","Level (Standardized)"
9,-0.51714361749332,0.726024125863353,0.4767851858322,-1.71134703417393,0.677059799187288,0.583973060616542,1.10768984896452,-1.23801460499008,2.40596072622317,1.10111667810986,0.580473766014142,0.0587104316432402,337,"IPC_yoy","TPM_std","Level (Standardized)"
10,-0.575523687878064,0.664689620879069,0.387201584983366,-1.668840821578,0.517793445821872,0.443336914458761,0.977637891711518,-1.16473431756812,2.05140814648564,1.01886060233682,0.547838141526487,0.0638084534726748,336,"IPC_yoy","TPM_std","Level (Standardized)"
11,-1.00526110505388,0.684829769206225,0.143089857779928,-2.13170583477708,0.121183624669318,-0.0155311371640644,1.01305079097618,-1.68185140498729,1.65078913065916,0.989729967889815,0.552528719823792,0.0741712946101828,335,"IPC_yoy","TPM_std","Level (Standardized)"
12,-1.82835665327021,0.747319378928339,0.0149491490193074,-3.05758764419161,-0.599125662348814,-1.09900170722434,1.11154740478701,-2.92733448751676,0.729331073068072,0.729354946045869,0.584265880307458,0.212804333030348,334,"IPC_yoy","TPM_std","Level (Standardized)"
13,-2.37081494251288,0.802785944672377,0.00337308513876625,-3.6912803152729,-1.05034956975285,-1.89730997374448,1.18994285621901,-3.8545917966613,0.0599718491723442,0.473504968768397,0.621321502652768,0.44655531512484,333,"IPC_yoy","TPM_std","Level (Standardized)"
