"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
5,7.15766940307035,3.02054928679841,2.36965820566266,0.0197843146632359,2.18930795329431,12.1260308528464,108,0.164074060032587,"Exportaciones","Exports","Demand","FCI_ENDO","Endogenous (Domestic)"
6,2.35233371593857,2.87903314188315,0.817056838185592,0.415919021802562,-2.38325438960141,7.08792182147856,107,0.116606151523177,"Exportaciones","Exports","Demand","FCI_ENDO","Endogenous (Domestic)"
7,-0.90646456093324,3.39833976847098,-0.26673747261625,0.790249436120395,-6.49623605471615,4.68330693284967,106,0.122384310877762,"Exportaciones","Exports","Demand","FCI_ENDO","Endogenous (Domestic)"
8,1.51759164068081,2.31305339300174,0.656098836832889,0.513363345584906,-2.28704262213051,5.32222590349213,105,0.225016639275804,"Exportaciones","Exports","Demand","FCI_ENDO","Endogenous (Domestic)"
1,-0.509361135119538,2.36971992504214,-0.214945711405317,0.830243063971269,-4.40720354868428,3.3884812784452,112,0.105753387621982,"Exportaciones","Exports","Demand","FCI_EXO","Exogenous (External)"
2,-0.612623430288077,1.56390429233395,-0.39172693194275,0.696093514949692,-3.18501707773855,1.9597702171624,111,0.20744398820784,"Exportaciones","Exports","Demand","FCI_EXO","Exogenous (External)"
3,-1.59400363473525,2.09321258811102,-0.761510629063112,0.448162366736856,-5.03703195227014,1.84902468279964,110,0.184309453654273,"Exportaciones","Exports","Demand","FCI_EXO","Exogenous (External)"
4,-1.81778410016962,1.56410434631224,-1.16218851028417,0.24798141538116,-4.39050680713187,0.754938606792626,109,0.140394696938201,"Exportaciones","Exports","Demand","FCI_EXO","Exogenous (External)"
5,2.9985516239089,1.94499480636095,1.54167590273371,0.126408498236384,-0.200680137735687,6.19778338555349,108,0.212471148772132,"Exportaciones","Exports","Demand","FCI_EXO","Exogenous (External)"
6,-1.24465025286563,1.95508175254234,-0.636623123942062,0.525885461752101,-4.46047356452154,1.97117305879029,107,0.169381034276226,"Exportaciones","Exports","Demand","FCI_EXO","Exogenous (External)"
7,-1.88137605509634,2.27803880444606,-0.825875332511654,0.410944068929362,-5.62841644492563,1.86566433473295,106,0.187330444136239,"Exportaciones","Exports","Demand","FCI_EXO","Exogenous (External)"
8,-1.11942282965298,2.46671011316024,-0.453812072882297,0.651010118079219,-5.17679990592248,2.93795424661652,105,0.312192534932609,"Exportaciones","Exports","Demand","FCI_EXO","Exogenous (External)"
1,-4.72084835706802,4.11751473339999,-1.14652858890193,0.254285495323801,-11.4935574003271,2.05186068619108,112,0.318721404369023,"Importaciones","Imports","Demand","FCI_ENDO","Endogenous (Domestic)"
2,-7.07266919227547,3.14564094225481,-2.24840321006432,0.0267451132604928,-12.2467881052303,-1.8985502793206,111,0.203703196409545,"Importaciones","Imports","Demand","FCI_ENDO","Endogenous (Domestic)"
3,-3.25614044765789,3.2635082935373,-0.997742354173268,0.320836774794936,-8.62413390086892,2.11185300555314,110,0.125167521757968,"Importaciones","Imports","Demand","FCI_ENDO","Endogenous (Domestic)"
4,0.986784918703154,2.81570098761654,0.350457993601961,0.726747173956449,-3.64463106318876,5.61820090059506,109,0.101397644317025,"Importaciones","Imports","Demand","FCI_ENDO","Endogenous (Domestic)"
5,6.04412647242302,2.73440771014905,2.21039695360337,0.0294283250711495,1.54642603282028,10.5418269120258,108,0.151920066784956,"Importaciones","Imports","Demand","FCI_ENDO","Endogenous (Domestic)"
6,5.29119308580632,3.16341077385806,1.67262283151209,0.0976576413872895,0.0878454008885265,10.4945407707241,107,0.130075856308053,"Importaciones","Imports","Demand","FCI_ENDO","Endogenous (Domestic)"
7,0.675403260500064,2.68274452366564,0.251758322323293,0.801771699622267,-3.73731879943556,5.08812532043569,106,0.125972093896802,"Importaciones","Imports","Demand","FCI_ENDO","Endogenous (Domestic)"
8,3.27596406335574,2.50782855495493,1.30629506426312,0.194639596402838,-0.849046831034346,7.40097495774583,105,0.118087861151842,"Importaciones","Imports","Demand","FCI_ENDO","Endogenous (Domestic)"
1,-5.62222864178902,2.16759340361869,-2.59376534012467,0.0109030944755974,-9.18760251348731,-2.05685477009073,112,0.379347623724357,"Importaciones","Imports","Demand","FCI_EXO","Exogenous (External)"
2,-5.93903969830841,1.76715373303186,-3.36079401995149,0.00110162454614351,-8.8457489254667,-3.03233047115013,111,0.262008799796565,"Importaciones","Imports","Demand","FCI_EXO","Exogenous (External)"
3,-5.64631614396223,2.04299041670117,-2.76375067538466,0.00681479823114664,-9.00673634070024,-2.28589594722422,110,0.180096176195731,"Importaciones","Imports","Demand","FCI_EXO","Exogenous (External)"
4,-3.28289926423903,1.61838636197024,-2.02850156265676,0.0452221733654631,-5.94490794153458,-0.620890586943481,109,0.115008798559022,"Importaciones","Imports","Demand","FCI_EXO","Exogenous (External)"
5,3.11473006733669,2.33916237893551,1.33155786677542,0.186126243855282,-0.732849655683822,6.9623097903572,108,0.133035134577733,"Importaciones","Imports","Demand","FCI_EXO","Exogenous (External)"
6,0.93543245175253,2.59873042575058,0.359957478653197,0.719669616244667,-3.33909871451246,5.20996361801752,107,0.0860724514870026,"Importaciones","Imports","Demand","FCI_EXO","Exogenous (External)"
7,3.06598087293146,2.36570126899271,1.29601353861425,0.198110645554782,-0.825251439654892,6.95721318551781,106,0.11923432812339,"Importaciones","Imports","Demand","FCI_EXO","Exogenous (External)"
8,1.62748005461324,1.63529085565474,0.99522360134621,0.322182553901182,-1.06233404043104,4.31729414965751,105,0.110952645439717,"Importaciones","Imports","Demand","FCI_EXO","Exogenous (External)"
