"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
7,-4.05133442680776,2.27933647858409,-1.77741832540864,0.0786996459840397,-7.80050930064959,-0.302159552965924,106,0.103597030507789,"Electricidad_y_agua","Electricity & Water","Supply","FCI_ENDO","Endogenous (Domestic)"
8,-1.73260748970822,2.34443336336874,-0.739030384390462,0.46172997267779,-5.58885721059133,2.12364223117488,105,0.0512525066415542,"Electricidad_y_agua","Electricity & Water","Supply","FCI_ENDO","Endogenous (Domestic)"
1,0.313421659680182,1.10096797715579,0.284678270561391,0.776473519711765,-1.49750951070194,2.1243528300623,112,0.342207851640146,"Electricidad_y_agua","Electricity & Water","Supply","FCI_EXO","Exogenous (External)"
2,1.01861892348566,1.37269652239391,0.742056898133063,0.459792238740384,-1.23926593007762,3.27650377704895,111,0.239718391467238,"Electricidad_y_agua","Electricity & Water","Supply","FCI_EXO","Exogenous (External)"
3,1.72937665288757,1.36702665935261,1.26506432120831,0.208817909329696,-0.519182105887924,3.97793541166306,110,0.280851448719563,"Electricidad_y_agua","Electricity & Water","Supply","FCI_EXO","Exogenous (External)"
4,-1.33998944147022,1.34173542128072,-0.998698715273658,0.320400241416939,-3.54694781557307,0.866968932632638,109,0.272564240050541,"Electricidad_y_agua","Electricity & Water","Supply","FCI_EXO","Exogenous (External)"
5,-2.01300675882747,1.02630783003233,-1.96140641230814,0.0526986340307821,-3.70113291542484,-0.324880602230089,108,0.242788942848094,"Electricidad_y_agua","Electricity & Water","Supply","FCI_EXO","Exogenous (External)"
6,-4.18220342793133,1.37682838957026,-3.03756333005066,0.00307153389889692,-6.44688459820573,-1.91752225765694,107,0.227882937930002,"Electricidad_y_agua","Electricity & Water","Supply","FCI_EXO","Exogenous (External)"
7,-4.45965365421422,1.19547111647311,-3.7304570497455,0.000325197054876938,-6.42602865606074,-2.49327865236771,106,0.180450729954876,"Electricidad_y_agua","Electricity & Water","Supply","FCI_EXO","Exogenous (External)"
8,-2.92647282593171,1.94019599371632,-1.50833876340825,0.134821645168752,-6.11781124319271,0.264865591329293,105,0.0802812267827976,"Electricidad_y_agua","Electricity & Water","Supply","FCI_EXO","Exogenous (External)"
1,-7.20017138310237,2.62317100143731,-2.74483492656681,0.00716679085148746,-11.5149037189304,-2.88543904727428,112,0.155206570302603,"Construccion","Construction","Supply","FCI_ENDO","Endogenous (Domestic)"
2,-5.26730899246262,3.06891802734795,-1.71634072514294,0.0891959551154942,-10.3152299405627,-0.219388044362584,111,0.206042673044911,"Construccion","Construction","Supply","FCI_ENDO","Endogenous (Domestic)"
3,-4.18121581657465,2.67520135210942,-1.56295368693565,0.121254567366222,-8.58153046341732,0.219098830268012,110,0.199136032823319,"Construccion","Construction","Supply","FCI_ENDO","Endogenous (Domestic)"
4,0.314207531769075,2.19918455798855,0.142874562586261,0.886682596555885,-3.30312916477406,3.93154422831221,109,0.0984253297528059,"Construccion","Construction","Supply","FCI_ENDO","Endogenous (Domestic)"
5,4.59349041569623,3.48982637560945,1.31625184788571,0.191191438219026,-1.14676315565588,10.3337439870483,108,0.0653940026773596,"Construccion","Construction","Supply","FCI_ENDO","Endogenous (Domestic)"
6,-2.33411606600805,2.12552167418073,-1.09813797448465,0.274890866304808,-5.83028810094818,1.16205596893208,107,0.0795312620355739,"Construccion","Construction","Supply","FCI_ENDO","Endogenous (Domestic)"
7,1.60032513473696,3.45636718769258,0.463007848366168,0.644417642930119,-4.08489297001523,7.28554323948916,106,0.103424423117657,"Construccion","Construction","Supply","FCI_ENDO","Endogenous (Domestic)"
8,-1.0412372616839,2.1798393004345,-0.477666982825918,0.633996119621815,-4.62675384117494,2.54427931780713,105,0.0845680084024488,"Construccion","Construction","Supply","FCI_ENDO","Endogenous (Domestic)"
1,-3.11373772549798,2.26609122515223,-1.3740566535616,0.172465769648966,-6.84112609619253,0.613650645196569,112,0.145378112895383,"Construccion","Construction","Supply","FCI_EXO","Exogenous (External)"
2,-3.42665597062732,1.99023295022999,-1.72173612653299,0.0882093044549324,-6.70029785729145,-0.153014083963183,111,0.217679893739986,"Construccion","Construction","Supply","FCI_EXO","Exogenous (External)"
3,-2.16216587512535,1.61648200564311,-1.33757497304471,0.184099806756605,-4.82104216500922,0.496710414758511,110,0.196474472752002,"Construccion","Construction","Supply","FCI_EXO","Exogenous (External)"
4,-1.37569546611315,1.73997309899009,-0.790641801825345,0.431062229636222,-4.23769652878498,1.48630559655868,109,0.104338731179816,"Construccion","Construction","Supply","FCI_EXO","Exogenous (External)"
5,2.52772096348986,2.05786005191884,1.2283250073944,0.222297001494365,-0.857157606667388,5.9125995336471,108,0.0632588042230754,"Construccion","Construction","Supply","FCI_EXO","Exogenous (External)"
6,2.42119731043477,2.43053574261773,0.996157870868049,0.321677737771286,-1.57667822124519,6.41907284211474,107,0.0886113389603397,"Construccion","Construction","Supply","FCI_EXO","Exogenous (External)"
7,1.7007573446201,1.51368563588695,1.12358689565257,0.264019622300622,-0.789033963632892,4.19054865287309,106,0.118930256033878,"Construccion","Construction","Supply","FCI_EXO","Exogenous (External)"
8,1.62416162181704,2.39272338423593,0.678792054492201,0.498937463625375,-2.31151811503503,5.55984135866911,105,0.132464971988562,"Construccion","Construction","Supply","FCI_EXO","Exogenous (External)"
1,-1.06200487524125,1.5457911304053,-0.687029996712942,0.493638318640239,-3.60460502259783,1.48059527211533,112,0.204051853523515,"Servicios","Services","Supply","FCI_ENDO","Endogenous (Domestic)"
2,-2.19890615032579,0.917457562832148,-2.3967388132241,0.0183995738183411,-3.70798955012431,-0.689822750527278,111,0.220734417845217,"Servicios","Services","Supply","FCI_ENDO","Endogenous (Domestic)"
3,-1.9533940710356,0.995986057577267,-1.96126648176906,0.0526570635153518,-3.59164535023466,-0.315142791836533,110,0.197557139883239,"Servicios","Services","Supply","FCI_ENDO","Endogenous (Domestic)"
4,-1.94760579998715,0.762436639663766,-2.55444937804411,0.012175129892534,-3.20170247205879,-0.693509127915511,109,0.135224471131076,"Servicios","Services","Supply","FCI_ENDO","Endogenous (Domestic)"
5,0.173389845324233,1.06228232307795,0.16322388272624,0.870681747422037,-1.57390908663697,1.92068877728543,108,0.0711848762097842,"Servicios","Services","Supply","FCI_ENDO","Endogenous (Domestic)"
6,0.514022769208868,0.980101867417137,0.524458514259821,0.601168592281645,-1.09810134219412,2.12614688061185,107,0.0804603257155309,"Servicios","Services","Supply","FCI_ENDO","Endogenous (Domestic)"
7,-0.025134722505686,0.875092289360057,-0.0287223676991449,0.977146269518815,-1.46453344857684,1.41426400356547,106,0.067624622753349,"Servicios","Services","Supply","FCI_ENDO","Endogenous (Domestic)"
8,0.230303462423309,0.549193883632461,0.419348192481756,0.675918475970747,-0.67304008896911,1.13364701381573,105,0.0961585835212264,"Servicios","Services","Supply","FCI_ENDO","Endogenous (Domestic)"
1,-1.47372123907668,0.841718053235204,-1.75084903241926,0.0830081366675151,-2.85822423181114,-0.0892182463422266,112,0.247660406047759,"Servicios","Services","Supply","FCI_EXO","Exogenous (External)"
2,-0.692882669217569,0.569726158583088,-1.21616790589495,0.226783930688978,-1.62999880753209,0.244233469096952,111,0.195388284833388,"Servicios","Services","Supply","FCI_EXO","Exogenous (External)"
3,-1.70867887557352,0.407433781484813,-4.19375847860866,5.98196274711239e-05,-2.37884780879137,-1.03850994235568,110,0.211428738950287,"Servicios","Services","Supply","FCI_EXO","Exogenous (External)"
4,-1.35198081574575,0.489122429095267,-2.76409490819408,0.00681981838440548,-2.15651561726641,-0.547446014225083,109,0.118730356231312,"Servicios","Services","Supply","FCI_EXO","Exogenous (External)"
5,1.24367133143129,0.687512962772387,1.80894237457895,0.0735577974476562,0.11281314103898,2.37452952182361,108,0.126227032024997,"Servicios","Services","Supply","FCI_EXO","Exogenous (External)"
6,-0.808734357074074,0.750680080987785,-1.07733557550894,0.284030150668723,-2.04349321096706,0.426024496818909,107,0.102224417806797,"Servicios","Services","Supply","FCI_EXO","Exogenous (External)"
7,0.688650355491213,0.346084356107211,1.98983381750397,0.0494840153317725,0.119392247117103,1.25790846386532,106,0.144101667791735,"Servicios","Services","Supply","FCI_EXO","Exogenous (External)"
8,0.420006674923961,0.612554224468758,0.685664481847651,0.494612289527282,-0.587555362897922,1.42756871274584,105,0.247673536832097,"Servicios","Services","Supply","FCI_EXO","Exogenous (External)"
1,-1.96672912257142,1.45944744386803,-1.34758475259577,0.180807140390293,-4.3673065439628,0.433848298819958,112,0.188745790629545,"PIB","GDP","Supply","FCI_ENDO","Endogenous (Domestic)"
2,-2.17583947553838,1.07602681596155,-2.02210525171163,0.0458361869982648,-3.94574608646978,-0.40593286460699,111,0.155254412170813,"PIB","GDP","Supply","FCI_ENDO","Endogenous (Domestic)"
3,-1.58967945250588,1.14153492643611,-1.39258065232299,0.166866429638275,-3.4673373165461,0.28797841153434,110,0.115320768210692,"PIB","GDP","Supply","FCI_ENDO","Endogenous (Domestic)"
4,-0.379611424769682,0.923139098323456,-0.41121801195411,0.681810554957752,-1.89804011882773,1.13881726928837,109,0.0690463804455262,"PIB","GDP","Supply","FCI_ENDO","Endogenous (Domestic)"
5,1.75307425308746,1.17563928292841,1.49116678775884,0.139162667993372,-0.18068028542396,3.68682879159888,108,0.0694598062815949,"PIB","GDP","Supply","FCI_ENDO","Endogenous (Domestic)"
6,0.894145965295746,0.928137248095811,0.96337687893703,0.337778866563338,-0.632503953543406,2.4207958841349,107,0.0798715935898169,"PIB","GDP","Supply","FCI_ENDO","Endogenous (Domestic)"
7,0.505716330491858,1.16300359165632,0.434836430532109,0.664667347850778,-1.40725434540163,2.41868700638535,106,0.106162232932678,"PIB","GDP","Supply","FCI_ENDO","Endogenous (Domestic)"
8,0.428343443034087,0.737856297338975,0.580524208546944,0.562950310565868,-0.78532216381291,1.64200904988108,105,0.131646069981396,"PIB","GDP","Supply","FCI_ENDO","Endogenous (Domestic)"
1,-1.69123274677258,0.732082045768154,-2.31016831589964,0.0229130741932932,-2.89540055498038,-0.487064938564777,112,0.250157707951902,"PIB","GDP","Supply","FCI_EXO","Exogenous (External)"
2,-1.41230867598892,0.547097136366245,-2.58145872480581,0.0112887687665743,-2.3122033850357,-0.512413966942134,111,0.207160199017088,"PIB","GDP","Supply","FCI_EXO","Exogenous (External)"
3,-1.25416241303052,0.512908709798974,-2.44519617052725,0.0162437908673893,-2.09782216463837,-0.41050266142268,110,0.171293916244755,"PIB","GDP","Supply","FCI_EXO","Exogenous (External)"
4,-0.977677438614016,0.582132410790605,-1.67947604443844,0.0962448468131157,-1.93520004586895,-0.0201548313590862,109,0.0902082967226697,"PIB","GDP","Supply","FCI_EXO","Exogenous (External)"
5,1.5388092526926,0.77048154960057,1.99720454498923,0.0486044094492026,0.271479881332913,2.80613862405229,108,0.145567148548012,"PIB","GDP","Supply","FCI_EXO","Exogenous (External)"
6,-0.190893319614705,0.828665640452699,-0.230362296076883,0.818300438808522,-1.55392700384339,1.17214036461398,107,0.126654925548001,"PIB","GDP","Supply","FCI_EXO","Exogenous (External)"
7,0.402446149346088,0.47590754106983,0.845639361884027,0.3998788614212,-0.380352095676179,1.18524439436835,106,0.213815697519699,"PIB","GDP","Supply","FCI_EXO","Exogenous (External)"
8,0.358719607901985,0.745832118143314,0.4809656210502,0.631658563391843,-0.868065056722943,1.58550427252691,105,0.310908092177351,"PIB","GDP","Supply","FCI_EXO","Exogenous (External)"
1,-1.50763072964316,1.48218839567074,-1.01716538467494,0.311505165303712,-3.94561368808755,0.930352228801234,112,0.192151234335864,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
2,-1.79704724384141,1.06817523158097,-1.68235247430485,0.0956206198794914,-3.5540391477271,-0.0400553399557164,111,0.158498923184598,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
3,-1.47409264587006,1.04986796071648,-1.40407432270251,0.163426070980735,-3.2009717688747,0.25278647713459,110,0.124677691130231,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
4,-0.625637736752389,0.839125104278008,-0.745583386270745,0.457703689642997,-2.0058757079901,0.754600234485324,109,0.0843970562160373,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
5,1.09314922197368,1.0855207353091,1.00702749050888,0.316427060407263,-0.692373496630518,2.87867194057788,108,0.0981841620292348,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
6,0.266667318456524,0.939855729660056,0.283732183611816,0.777226646986369,-1.27925778728594,1.81259242419899,107,0.108237252674291,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
7,0.137790860624037,1.10484785054826,0.12471478362895,0.901012873683781,-1.67952213357981,1.95510385482788,106,0.121912260925096,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
8,0.280031871816432,0.651195357839957,0.430027438686463,0.66815992517114,-0.791089174380583,1.35115291801345,105,0.132436085411144,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
1,-1.82918307481975,0.777549273917601,-2.3524979524495,0.0205865789392682,-3.1081378181566,-0.550228331482902,112,0.285388480242561,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_EXO","Exogenous (External)"
2,-1.32537997069745,0.470007891564145,-2.81991003658833,0.00579286691752761,-2.09847415583255,-0.552285785562354,111,0.223075154689722,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_EXO","Exogenous (External)"
3,-1.38791116220418,0.458282135128346,-3.02850810847228,0.00313415135546944,-2.14171819433711,-0.634104130071259,110,0.194333702937114,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_EXO","Exogenous (External)"
4,-1.1524740161156,0.550899432924208,-2.09198620880439,0.0390246639882605,-2.05862294644649,-0.246325085784708,109,0.107110721636199,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_EXO","Exogenous (External)"
5,1.2751035852784,0.751089395467152,1.69767219850752,0.0927758140403117,0.0396714689794706,2.51053570157734,108,0.176250036540269,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_EXO","Exogenous (External)"
6,-0.746999444763144,0.661439731145498,-1.12935375603983,0.261562726145254,-1.83497098554762,0.340972096021335,107,0.15417209601422,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_EXO","Exogenous (External)"
7,0.235778296938797,0.31880552952306,0.739567777546161,0.461385917514855,-0.288610134589393,0.760166728466987,106,0.211181020963972,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_EXO","Exogenous (External)"
8,0.264598946703777,0.605385056113132,0.43707545145338,0.663059087740986,-0.731170858546128,1.26036875195368,105,0.293089160654031,"PIB_exAgri","GDP ex-Agriculture","Supply","FCI_EXO","Exogenous (External)"
