"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type"
1,-0.0804397966054263,1.02254115066424,0.937394927723178,-1.76237031698263,1.60149072377178,173,"Cred_Total","FCI_EXO"
2,0.353966216709215,1.27616882606574,0.781854680990978,-1.74514470544742,2.45307713886585,172,"Cred_Total","FCI_EXO"
3,1.36562378883618,1.70957119165521,0.425584336022007,-1.44637058628965,4.17761816396201,171,"Cred_Total","FCI_EXO"
4,1.85462394016483,2.28410400518349,0.418022788498296,-1.90239281709562,5.61164069742528,170,"Cred_Total","FCI_EXO"
5,1.60542321681632,2.39108504470825,0.502933224718398,-2.32756169132147,5.5384081249541,169,"Cred_Total","FCI_EXO"
6,0.405351406005869,2.34628442721636,0.863060150040422,-3.45394304396071,4.26464585597245,168,"Cred_Total","FCI_EXO"
7,-0.9906761987573,1.9245669281342,0.607454325674717,-4.1563070908097,2.1749546932951,167,"Cred_Total","FCI_EXO"
8,-2.3392571245711,2.08555716814034,0.26374756975599,-5.76969339680138,1.09117914765918,166,"Cred_Total","FCI_EXO"
9,-2.01590017766042,2.41776898396438,0.405693387205313,-5.99277626006499,1.96097590474416,165,"Cred_Total","FCI_EXO"
10,-1.35410005579389,2.3815471582357,0.570474815955481,-5.27139653677385,2.56319642518606,164,"Cred_Total","FCI_EXO"
11,-1.58023168097908,2.44967747991816,0.519849472256609,-5.60959256868381,2.44912920672565,163,"Cred_Total","FCI_EXO"
12,-2.55467475035628,2.83536203380898,0.369020582791421,-7.21843027538748,2.10908077467492,162,"Cred_Total","FCI_EXO"
13,-2.70103981456785,3.10915184696182,0.386378059601495,-7.81513950678587,2.41305987765017,161,"Cred_Total","FCI_EXO"
14,-2.60257231666936,3.27143969013978,0.427562992744775,-7.98361175634877,2.77846712301005,160,"Cred_Total","FCI_EXO"
15,-3.63151961065953,3.13768033338341,0.248977590996802,-8.79254448723954,1.52950526592048,159,"Cred_Total","FCI_EXO"
16,-4.42011436150433,3.09329907537879,0.155145260038049,-9.50813856488677,0.667909841878106,158,"Cred_Total","FCI_EXO"
17,-4.80449374982703,3.13616113080201,0.127694680741074,-9.96301976053095,0.354032260876892,157,"Cred_Total","FCI_EXO"
18,-3.71454510195514,3.02328094305636,0.221194548888245,-8.68739972643466,1.25830952252438,156,"Cred_Total","FCI_EXO"
