"proxy","response","horizon","irf_point","ci_lower","ci_upper","n_boot_valid"
"DXY","Cred_Real_Total",2,0.371544760394356,-17.8588456443794,16.3712588809142,500
"DXY","Cred_Real_Total",3,0.278856825469181,-17.350627283096,15.649013972851,500
"DXY","Cred_Real_Total",4,0.189384643846143,-16.6281141892112,17.2471687852533,500
"DXY","Cred_Real_Total",5,0.103762266496794,-16.4176919193827,18.4283207414735,500
"DXY","Cred_Real_Total",6,0.0219509887035968,-16.1120974372419,18.5960701000901,500
"DXY","Cred_Real_Total",7,-0.0563063334931939,-14.4590049281376,18.5078932676101,500
"DXY","Cred_Real_Total",8,-0.131154324951818,-15.2551408877956,16.5889771352294,500
"DXY","Cred_Real_Total",9,-0.202650955314899,-15.3229834316117,16.9404343806291,500
"DXY","Cred_Real_Total",10,-0.270797344392292,-15.7101704488025,15.9677348244897,500
"DXY","Cred_Real_Total",11,-0.335561110864711,-15.4214425156513,14.8928773907693,500
"DXY","Cred_Real_Total",12,-0.396893986794697,-14.8244523057679,14.4278873859283,500
"DXY","Cred_Real_Total",13,-0.454744182700984,-14.1758488383798,13.2886014674015,500
"DXY","Cred_Real_Total",14,-0.509064691821601,-13.4876167861109,12.6833826528731,500
"DXY","Cred_Real_Total",15,-0.559818619715341,-12.6965566687044,11.9301941118288,500
"DXY","Cred_Real_Total",16,-0.606982380947849,-11.7728447185482,11.6095382953746,500
"DXY","Cred_Real_Total",17,-0.65054738767624,-10.8471997420174,11.2587400791047,500
"DXY","Cred_Real_Total",18,-0.690520685780208,-9.94153441978566,10.7008770232497,500
"DXY","Cred_Real_Total",19,-0.726924868081621,-9.00666788659806,9.70502451930239,500
"DXY","Cred_Real_Total",20,-0.759797501831692,-8.13753367843373,9.67396925608208,500
"DXY","Cred_Real_Total",21,-0.789190240469546,-7.87248007846275,9.18127857419983,500
"DXY","Cred_Real_Total",22,-0.815167740952977,-6.91422674092248,7.39131024652946,500
"DXY","Cred_Real_Total",23,-0.837806472713554,-6.65993442708074,6.88327228843137,500
"DXY","Cred_Real_Total",24,-0.857193478811751,-6.4873977640125,7.02520520882156,500
"DXY","IMAEP_yoy",0,0.109519460186117,-26.7706670666238,24.2516354774518,500
"DXY","IMAEP_yoy",1,-0.284201872698932,-18.4132477416459,15.4551870818006,500
"DXY","IMAEP_yoy",2,-0.190243244000285,-12.8248606521017,10.8497373533648,500
"DXY","IMAEP_yoy",3,-0.120039365568056,-9.30507410946789,8.37556269036864,500
"DXY","IMAEP_yoy",4,-0.0737874079925931,-6.78852276014143,5.9487803200381,500
"DXY","IMAEP_yoy",5,-0.0425970791795789,-5.00253451351038,4.05551733994049,500
"DXY","IMAEP_yoy",6,-0.0227818160093512,-4.44799236513357,3.41322533038626,500
"DXY","IMAEP_yoy",7,-0.0110627310184556,-3.26990986936819,2.5202925514286,500
"DXY","IMAEP_yoy",8,-0.00492072407815626,-2.70110978981582,2.34636186840881,500
"DXY","IMAEP_yoy",9,-0.002523672463518,-2.50164908887136,2.13512695335155,500
"DXY","IMAEP_yoy",10,-0.00255960789075402,-2.2560185384423,2.22927038872464,500
"DXY","IMAEP_yoy",11,-0.00409948785687745,-1.94760256608701,2.03654778809711,500
"DXY","IMAEP_yoy",12,-0.00649253492247326,-1.5514722539369,1.94324574276253,500
"DXY","IMAEP_yoy",13,-0.00928875763069134,-1.43690196559927,1.77872711039497,500
"DXY","IMAEP_yoy",14,-0.0121823832750564,-1.29526813084509,1.69848901923666,500
"DXY","IMAEP_yoy",15,-0.0149707891171088,-1.08833639426843,1.53221158706152,500
"DXY","IMAEP_yoy",16,-0.0175247665630573,-0.981559376826815,1.32676103725291,500
"DXY","IMAEP_yoy",17,-0.0197670293271013,-1.01145360660918,1.19757446647464,500
"DXY","IMAEP_yoy",18,-0.0216567051699799,-0.832587929511881,0.994699640903543,500
"DXY","IMAEP_yoy",19,-0.0231781658287094,-0.752478388627146,0.892512608338924,500
"DXY","IMAEP_yoy",20,-0.0243329999980219,-0.663007510697742,0.843332745373089,500
"DXY","IMAEP_yoy",21,-0.0251342620543657,-0.606825438254713,0.770013041167816,500
"DXY","IMAEP_yoy",22,-0.0256023674012949,-0.522544238016314,0.695940209818073,500
