"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","purge_type","purge_r2"
20,-2.99921766486709,2.46562045505725,0.224737563730222,-7.05480241305374,1.05636708331956,326,"Cred_Real_Total","baseline",0
21,-2.1243696669872,2.35218545393334,0.367140101021262,-5.99337044215194,1.74463110817755,325,"Cred_Real_Total","baseline",0
22,-1.04228156277425,2.38685544040029,0.662647696971032,-4.96830939092552,2.88374626537702,324,"Cred_Real_Total","baseline",0
23,-0.313002233132228,2.33790787341161,0.89358272401863,-4.15851847819172,3.53251401192727,323,"Cred_Real_Total","baseline",0
24,-0.159731522181859,2.10312260553242,0.93950795264341,-3.61906036781549,3.29959732345177,322,"Cred_Real_Total","baseline",0
1,-0.702138746961919,0.839864484262209,0.403744518334909,-2.08359289004834,0.679315396124503,345,"Cred_Real_MN","baseline",0
2,-0.758798009813809,0.894042570880395,0.396642946749411,-2.22936717517545,0.711771155547827,344,"Cred_Real_MN","baseline",0
3,-1.96615607261101,1.15767428711115,0.0903753855995089,-3.87036082259424,-0.0619513226277866,343,"Cred_Real_MN","baseline",0
4,-3.9472148788644,1.55219263438872,0.0114455077404185,-6.50034456326603,-1.39408519446276,342,"Cred_Real_MN","baseline",0
5,-4.30932557829293,1.63951613507895,0.00897949948089944,-7.00608963952301,-1.61256151706286,341,"Cred_Real_MN","baseline",0
6,-4.94096070032707,1.99251881036565,0.0136473884609553,-8.21836249232603,-1.6635589083281,340,"Cred_Real_MN","baseline",0
7,-5.81670360179112,2.1002686986379,0.00593372234579343,-9.27133818831832,-2.36206901526391,339,"Cred_Real_MN","baseline",0
8,-6.71066807007326,2.12316745332951,0.00172119517388253,-10.2029677563076,-3.2183683838389,338,"Cred_Real_MN","baseline",0
9,-7.00024603175626,2.3816245416095,0.00352463802992028,-10.9176697970593,-3.08282226645324,337,"Cred_Real_MN","baseline",0
10,-7.44786881506594,2.63383127116355,0.00497809853171014,-11.7801357342175,-3.11560189591437,336,"Cred_Real_MN","baseline",0
11,-8.84868883832223,3.02459415056262,0.00368084027191476,-13.8237034969314,-3.8736741797131,335,"Cred_Real_MN","baseline",0
12,-9.0641538250687,3.30173353987811,0.00638454792738994,-14.4950222133645,-3.63328543677287,334,"Cred_Real_MN","baseline",0
13,-9.23068075672779,3.4330664858266,0.00754513230607044,-14.8775726175052,-3.58378889595036,333,"Cred_Real_MN","baseline",0
14,-9.27120343716588,3.31212800060927,0.00543342338938611,-14.7191691918956,-3.8232376824362,332,"Cred_Real_MN","baseline",0
15,-8.86883698108033,3.05872244497777,0.0039957093503719,-13.8999876885399,-3.83768627362077,331,"Cred_Real_MN","baseline",0
16,-7.78313128857948,2.74461561780391,0.00486336944283851,-12.2976222421119,-3.26864033504706,330,"Cred_Real_MN","baseline",0
17,-6.89959995093825,2.53815285803818,0.00692064523515976,-11.0744898852396,-2.72471001663691,329,"Cred_Real_MN","baseline",0
